Title,URL,Lat,Long
Keough Hot Ditch,https://www.ultimatehotspringsguide.com/keough-hot-ditch.html,37.254255,-118.37492099999997
Kosk Hot Springs,https://www.ultimatehotspringsguide.com/kosk-hot-springs.html,41.0337687,-121.93166350000001
Hunt Hot Springs,https://www.ultimatehotspringsguide.com/hunt-hot-springs.html,41.0223799,-121.91971849999999
Lake Isabella Hot Springs,https://www.ultimatehotspringsguide.com/lake-isabella-hot-springs.html,35.61992,-118.473389
Gaviota Hot Springs,https://www.ultimatehotspringsguide.com/gaviota-hot-springs.html,34.4775613,-120.22999759999999
Mercey Hot Springs,https://www.ultimatehotspringsguide.com/mercey-hot-springs.html,36.7043477,-120.85973739999997
Monarch Hot Springs,https://www.ultimatehotspringsguide.com/monarch-hot-springs.html,33.9106787,-116.44100459999999
Mono Hot Springs,https://www.ultimatehotspringsguide.com/mono-hot-springs.html,37.3264886,-119.01720999999998
Montecito Hot Springs,https://www.ultimatehotspringsguide.com/montecito-hot-springs.html,34.4491568,-119.6459279
Morton's Warm Springs,https://www.ultimatehotspringsguide.com/mortons-warm-springs.html,38.394497,-122.55060500000002
Morton's Warm Springs,https://www.ultimatehotspringsguide.com/mortons-warm-springs.html,38.394497,-122.55060500000002
Murrieta Hot Springs,https://www.ultimatehotspringsguide.com/murrieta-hot-springs.html,33.5576309,-117.1566929
Ojai Hot Springs,https://www.ultimatehotspringsguide.com/ojai-hot-springs.html,34.4835042,-119.30381160000002
Orr Hot Springs,https://www.ultimatehotspringsguide.com/orr-hot-springs.html,39.229755,-123.366301
Remington Hot Springs,https://www.ultimatehotspringsguide.com/remington-hot-springs.html,35.566328,-118.575897
River Oaks Hot Spring Spa,https://www.ultimatehotspringsguide.com/river-oaks-hot-spring-spa.html,35.6550061,-120.68363640000001
Roman Spa Hot Springs Resort,https://www.ultimatehotspringsguide.com/roman-spa-hot-springs.html,38.579187,-122.58004199999999
Saline Hot Springs,https://www.ultimatehotspringsguide.com/saline-hot-springs.html,36.8128786,-117.76612460000001
Sam's Family Spa,https://www.ultimatehotspringsguide.com/sams-family-spa.html,33.9226868,-116.4255738
Sespe Hot Springs,https://www.ultimatehotspringsguide.com/sespe-hot-springs.html,34.5945449,-118.9988123
Sierra Hot Springs,https://www.ultimatehotspringsguide.com/sierra-hot-springs.html,39.5754781,-120.3481673
Shoshone Hot Springs ,https://www.ultimatehotspringsguide.com/shoshone-hot-springs.html,35.9802001,-116.27157999999997
Slates Hot Spring,https://www.ultimatehotspringsguide.com/slates-hot-spring.html,36.1238325,-121.63718940000001
Sonoma Aquatic Club,https://www.ultimatehotspringsguide.com/sonoma-aquatic-club.html,38.321251,-122.489914
Squaw Hot Springs,https://www.ultimatehotspringsguide.com/squaw-bath-hot-springs.html,41.5326955,-120.07841020000001
Stewart Mineral Hot Springs,https://www.ultimatehotspringsguide.com/stewart-mineral-hot-springs.html,41.419678,-122.50393989999998
Sycamore Hot Springs,https://www.ultimatehotspringsguide.com/sycamore-hot-springs.html,35.1807218,-120.70299310000001
Tassajara Hot Springs,https://www.ultimatehotspringsguide.com/tassajara-hot-springs.html,36.235878,-121.54842400000001
Tecopa Hot Springs Campground,https://www.ultimatehotspringsguide.com/tecopa-hot-springs-campgropund.html,35.8739184,-116.23142589999998
Tecopa Hot Springs Resort,https://www.ultimatehotspringsguide.com/tecopa-hot-springs-resort.html,35.8698625,-116.23243330000003
Tecopa Mud Hot Springs,https://www.ultimatehotspringsguide.com/tecopa-mud-hot-springs.html,35.8739184,-116.23142589999998
Travertine Hot Springs ,https://www.ultimatehotspringsguide.com/travertine-hot-springs.html,38.2458651,-119.2054099
Two Bunch Palms Hot Springs,https://www.ultimatehotspringsguide.com/two-bunch-palms-hot-springs.html,33.9477232,-116.48700170000001
Vichy Hot Springs,https://www.ultimatehotspringsguide.com/vichy-hot-springs.html,39.16674769999999,-123.15865459999998
Whitmore Pool Hot Springs,https://www.ultimatehotspringsguide.com/whitmore-pool-hot-springs.html,37.6325,-118.81139000000002
Wilbur Hot Springs,https://www.ultimatehotspringsguide.com/wilbur-hot-springs.html,39.038742,-122.42092500000001
Wild Willy's Hot Springs,https://www.ultimatehotspringsguide.com/wild-willys-hot-springs.html,37.6610361,-118.76776460000002
Willett Hot Springs,https://www.ultimatehotspringsguide.com/willett-hot-springs.html,34.5758222,-119.05093729999999
Woody's Hot Springs,https://www.ultimatehotspringsguide.com/woodys-hot-springs.html,40.019035,-121.03353909999998
Alpine Hot Springs,https://www.ultimatehotspringsguide.com/alpine-hot-springs.html,38.7328649,-106.16887700000001
Antero Hot Springs,https://www.ultimatehotspringsguide.com/antero-hot-springs.html,38.731589,-106.16711700000002
Avalanche Ranch Hot Springs,https://www.ultimatehotspringsguide.com/avalanche-ranch-hot-springs.html,39.2471482,-107.23640360000002
Box Canyon Lodge and Hot Springs,https://www.ultimatehotspringsguide.com/box-canyon-lodge-and-hot-springs.html,38.019276,-107.674642
Conundrum Hot Springs,https://www.ultimatehotspringsguide.com/conundrum-hot-springs.html,39.0115457,-106.89130080000001
Cottonwood Hot Springs,https://www.ultimatehotspringsguide.com/cottonwood-hot-springs.html,38.8127685,-106.22181869999997
Creekside Hot Springs,https://www.ultimatehotspringsguide.com/creekside-hot-springs.html,38.7235254,-106.17409600000002
Dakota Hot Springs,https://www.ultimatehotspringsguide.com/dakota-hot-springs.html,38.418433,-105.05613199999999
Desert Reef Hot Springs,https://www.ultimatehotspringsguide.com/desert-reef-hot-springs.html,38.3685985,-105.0489948
Dunton Hot Springs,https://www.ultimatehotspringsguide.com/dunton-hot-springs.html,37.7726733,-108.09372580000002
Eldorado Springs Resort & Pool,https://www.ultimatehotspringsguide.com/eldorado-springs-resort--pool.html,39.931835,-105.27945399999999
4UR Ranch Hot Springs ,https://www.ultimatehotspringsguide.com/4ur-ranch-hot-springs.html,37.749259,-106.832336
Glenwood Hot Springs,https://www.ultimatehotspringsguide.com/glenwood-hot-springs.html,39.5497238,-107.32227030000001
Great Sand Dunes Swimming Pool and RV Park ,https://www.ultimatehotspringsguide.com/great-sand-dunes-swimming-pool.html,37.7790423,-105.85644450000001
Healing Waters Resort and Spa,https://www.ultimatehotspringsguide.com/healing-waters-resort-and-spa.html,37.2659421,-107.00925460000002
Hippy DIppy Hot Springs,https://www.ultimatehotspringsguide.com/hippy-dippy-hot-springs.html,37.2668122,-107.00940989999998
Hot Sulfur Springs Resort and Spa,https://www.ultimatehotspringsguide.com/hot-sulfur-springs-resort-and-spa.html,40.0748174,-106.11167419999998
Indian Hot Springs,https://www.ultimatehotspringsguide.com/indian-hot-springs.html,39.7392802,-105.51259329999999
Iron Mountain Hot Springs,https://www.ultimatehotspringsguide.com/iron-mountain-hot-springs.html,39.5552763,-107.3363046
Joyful Journey Hot Springs,https://www.ultimatehotspringsguide.com/joyful-journey-hot-springs.html,38.1686021,-105.92542220000001
Merrifield Homestead Cabins and Hot Springs,https://www.ultimatehotspringsguide.com/merrifield-homestead-cabins-and-hot-springs.html,38.8127945,-106.22609779999999
Mount Princeton Hot Springs Resort,https://www.ultimatehotspringsguide.com/mount-princeton-hot-springs.html,38.7326015,-106.1626326
Old Town Hot Springs,https://www.ultimatehotspringsguide.com/old-town-hot-springs.html,40.4827034,-106.82775149999998
Orvis Hot Springs,https://www.ultimatehotspringsguide.com/orvis-hot-springs.html,38.1342781,-107.73534540000003
​Ouray Hot Springs,https://www.ultimatehotspringsguide.com/8203ouray-hot-springs.html,38.0289539,-107.6725586
Overlook Hot Springs Spa,https://www.ultimatehotspringsguide.com/overlook-hot-springs-spa.html,37.2672364,-107.0107372
​Radium Hot Springs,https://www.ultimatehotspringsguide.com/8203radium-hot-springs1.html,39.9595829,-106.53729650000002
Rainbow Hot Springs,https://www.ultimatehotspringsguide.com/rainbow-hot-springs.html,37.5091748,-106.94733550000001
Rico Hot Springs,https://www.ultimatehotspringsguide.com/rico-hot-springs.html,37.7019151,-108.03114470000003
Salida Hot Springs Aquatic Center,https://www.ultimatehotspringsguide.com/salida-hot-springs-aquatic-center.html,38.525035,-106.00942499999996
South Canyon Hot Springs,https://www.ultimatehotspringsguide.com/south-canyon-hot-springs.html,39.553752,-107.41080299999999
Splashland Hot Springs ,https://www.ultimatehotspringsguide.com/splashland-hot-springs.html,37.4897289,-105.85781350000002
Springs Ranch,https://www.ultimatehotspringsguide.com/springs-ranch.html,38.5141613,-106.50836290000001
Strawberry Park Hot Springs,https://www.ultimatehotspringsguide.com/strawberry-park-hot-springs.html,40.5597752,-106.8494164
Strawberry Park Hot Springs,https://www.ultimatehotspringsguide.com/strawberry-park-hot-springs.html,40.5597752,-106.8494164
​Sunwater Spa,https://www.ultimatehotspringsguide.com/8203sunwater-spa.html,38.8585726,-104.91098099999999
